poem_number,poet,original_japanese,original_romaji,dickens_text_1866,noguchi_text_1907,porter_text_1909,maccauley_text_1917
1,Tenchi Tenno,"秋の田の
かりほの庵の
苫をあらみ
わが衣手は
露にぬれつつ","Aki no ta no
Kario no io no
Toma no arami
Waga koromo de wa
Tsuyu ni furitsutsu","My lowly hut is thatched with straw
From fields where rice-sheaves frequent stand,
Now autumn's harvest well-nigh o'er,
Collected by my toiling hand:
Through tatter'd roof the sky I view,
My clothes are wet with falling dew","My clothes wet with the midnight dews—
Through the roof mat,
In this temporal hut,
For our harvest.","Out in the fields this autumn day
They're busy reaping grain ;
I sought for shelter ’neath this roof,
But fear I sought in vain,—
My sleeve is wet with rain.","Coarse the rush-mat roof
Sheltering the harvest-hut
Of the autumn rice-field;--
And my sleeves are growing wet
With the moisture dripping through."
2,Jito Tenno,"春過ぎて
夏来にけらし
白妙の
衣ほすてふ
天の香具山","Haru sugite
Natsu ki ni kerashi
Shirotae no
Koromo hosu cho
Ama no Kaguyama","The pleasant spring hath passed away,
Now summer follows close, I ween,
And Ama's secret summit may
In all its grandeur now be seen;
Of yore the drying ground,
Whitened with angels' robes, spread far around.","Has Spring passed away?
Did Summer already come?
Lo, Kagu Yama!  There
The white gowns are seen being dried.","The spring has gone, the summer's come,
And I can just descry
The peak of Ama-no-kagu,
Where angels of the sky
Spread their white robes to dry.","Spring, it seems, has passed,
And the summer come again;
For the silk-white robes,
So 'tis said, are spread to dry
On the ""Mount of Heaven's Perfume."""
3,Kakinomoto no Hitomaro,"あしびきの
山鳥の尾の
しだり尾の
ながながし夜を
ひとりかもねむ","Ashibiki no
Yamadori no o no
Shidari o no
Naganagashi yo o
Hitori ka mo nen","The hill-side fowl his long-drooped tail
Sweeps o'er the ground--so drags the night.
My lonely plight
I mourn--my sleepless wretchedness bewail.","What a long night!
How could I sleep alone!
How the night drags!—(Dragging
As a mountain fowl's long-dropped tail!)","Long is the mountain pheasant's tail
That curves down in its flight;
But longer still, it seems to me,
Left in my lonely plight,
Is this unending night.","Ah! the foot-drawn trail
Of the mountain-pheasant's tail
Drooped like down-curved branch!--
Through this long, long-dragging night
Must I keep my couch alone?"
4,Yamabe no Akahito,"田子の浦に
打ち出でてみれば
白妙の
富士の高嶺に
雪はふりつつ","Tago no Ura ni
Uchi idete mireba
Shirotae no
Fuji no takane ni
Yuki wa furi tsutsu","From where my home,--
My lonely home, --onTago's shore
Doth stand, the wandering eye may roam
O'er Fusiyama's summit hoar,
Whose lofty brow
Is whitened by th' new-fallen snow.","From Tago Ura,
I behold Fuji's white summit,—
Over the high summit,
The snow falling and falling on.","I started off along the shore,
The sea shore at Tago,
And saw the white and glist’ning peak
Of Fuji all aglow
Through falling flakes of snow.","When to Tago's coast
I the way have gone, and see
Perfect whiteness laid
On Mount Fuji's lofty peak
By the drift of falling snow."
5,Sarumaru Dayu,"奥山に
紅葉ふみわけ
鳴く鹿の
声きく時ぞ
秋は悲しき","Okuyama ni
Momiji fumiwake
Naku shika no
Koe kiku toki zo
Aki wa kanashiki","Now 'mid the hills the Momiji
Is trampled down 'neath hoof of deer,
Whose plaintive cries continually
Are heard both far and near;
My shivering frame
Now autumn's piercing chills doth blame.","How sad is Autumn,
When you hear the deer's cry.
With his hoofs upon the maple leaves,
Amid the deeper hill!","Hear the stag's pathetic call
Far up the mountain side,
While tramping o'er the maple leaves
Wind-scattered far and wide
This sad, sad autumn tide.","In the mountain depths,
Treading through the crimson leaves,
Cries the wandering stag.
When I hear the lonely cry,
Sad,--how sad--the autumn is!"
6,Chunagon Yakamochi,"かささぎの
渡せる橋に
置く霜の
白きを見れば
夜ぞふけにける","Kasasagi no
Wataseru hashi ni
Oku shimo no
Shiroki o mireba
Yo zo fuke ni keru","Upon the bridge where ravens, aye,
Do love to pass where hoar-frost's sheen,
When hoar-frost's glittering film is seen;
I trow the break of day is nigh.","Must be done the night:
Over the Kasasagi bridge in the sky,
The frost white, I see,
Is set already.","When on the Magpies' Bridge I see
The Hoar-frost King has cast
His sparkling mantle, well I know
The night is nearly past,
Daylight approaches fast.","If the ""Magpie Bridge""--
Bridge by flight of magpies spanned,--
White with frost I see:--
With a deep-laid frost made white:--
Late, I know, has grown the night."
7,Abe no Nakamaro,"天の原
ふりさけ見れば
春日なる
三笠の山に
出でし月かも","Ama no hara
Furisake mireba
Kasuga naru
Mikasa no yama ni
Ideshi tsuki kamo","On every side the vaulted sky
I view: now will the moon have peered
I trow, above Mikasa high
In Kasuga's far-off land upreared.","Behold the heavenly vastness,
The sky of the moon!
Is it not the same moon I once saw,
Out of Kasuga's Mikasa hill?","While gazing up into the sky,
My thoughts have wandered far;
Methinks I see the rising moon
Above Mount Mikasa
At far-off Kasuga.","When I look abroad
O'er the wide-stretched ""Plain of Heaven,""
Is the moon the same
That on Mount Mikasa rose,
In the land of Kasuga?"
8,Kisen Hoshi,"わが庵は
都のたつみ
しかぞすむ
世をうぢ山と
人はいふなり","Waga io wa
Miyako no tatsumi
Shika zo sumu
Yo o Ujiyama to
Hito wa iu nari","My cabin doth in Tats'mi lie
Miako's city near
Yo-uji men my mountain call,
Yet still do I dwell here.","My hut is southward of the city,
here like this I live alone:
Why, people call here Ujiyama.
(The ""World-sad Hill"")!","My home is near the Capital,
My humble cottage bare
Lies south-east on
Mount Uji; so
The people all declare
My life's a 'Hill of Care'.","Lowly hut is mine
South-east from the capital:--
Thus I choose to dwell;--
And the world in which I live
Men have named a ""Mount of Gloom."""
9,Ono no Komachi,"花の色は
うつりにけりな
いたづらに
わが身世にふる
ながめせしまに","Hana no iro wa
Utsuri ni keri na
Itazura ni
Waga mi yo ni furu
Nagame seshi ma ni","Thy love hath passed away from me
Left, desolate, forlorn--
In winter-rains how wearily
The summer past I mourn!","The flowers and my love,
Passed away under the rain,
While I idly looked upon them:
Where is my yester-love?","The blossom's tint is washed away
By heavy showers of rain;
My charms, which once I prized so much,
Are also on the wane,
Both bloomed, alas! in vain.","Color of the flower
Has already passed away
While on trivial things
Vainly I have set my gaze,
In my journey through the world."
10,Semimaru,"これやこの
行くも帰るも
別れては
知るも知らぬも
逢坂の関","Kore ya kono
Yuku mo kaeru mo
Wakarete wa
Shiru mo shiranu mo
Osaka no seki","Some hence towards the city haste,
Some from the city here speed by,
Here friends and strangers meet and part,
With kindly glance and careless eye;
Apt is the name it seems to me,
Ausaka gate, men give to thee.","here some depart, here some return,
Once they part, and they meet here again,—
The people who know and who know not:
'Tis Ausaka Gate (the ""Meeting Height Gate"").","The stranger who has travelled far,
The friend with welcome smile,
All sorts of men who come and go
Meet at this mountain stile,—
They meet and rest awhile.","Truly, this is where
Travelers who go or come
Over parting ways,--
Friends or strangers,--all must meet;
'Tis the gate of ""Meeting Hill."""
